idFoyer;idIndividu;dateEntreeDB;dateNaissanceDB
90;53508542;16-12-2008;01-01-1900
90;53508543;16-12-2008;01-01-1900
90;53514306;08-10-2010;01-01-1900
90;53514307;08-10-2010;01-01-1900
90;53514308;08-10-2010;01-01-1900
90;53514309;08-10-2010;01-01-1900
90;53514310;08-10-2010;01-01-1900
90;53514311;08-10-2010;01-01-1900
91;53511533;23-12-2009;01-01-1900
91;53511534;23-12-2009;01-01-1900
91;53511535;23-12-2009;01-01-1900
91;53511536;23-12-2009;01-01-1900
91;100111310;10-03-2022;01-07-1999
120;12004;15-04-2002;01-01-1900
120;53484541;05-02-2002;04-03-1934
120;53484542;05-02-2002;01-01-1900
120;53484543;05-02-2002;01-01-1900
120;53493237;04-05-2006;01-01-1900
120;53493238;04-05-2006;01-01-1900
